,model,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold,window_size
0,DummyADL,0.008244665561002978,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,3
1,DummyADL,0.007912558004489778,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,3
2,DummyADL,0.008368819324273137,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,3
3,DummyADL,0.0074489964755527814,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,3
4,DummyADL,0.007492008333428052,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,3
5,DummyADL,0.009342367616497923,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,5
6,DummyADL,0.009044247511864745,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,5
7,DummyADL,0.008677376444742545,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,5
8,DummyADL,0.0085575045302046,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,5
9,DummyADL,0.009182039399375138,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,5
10,DummyADL,0.010348673203205611,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,7
11,DummyADL,0.00988011748747237,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,7
12,DummyADL,0.010975340692119029,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,7
13,DummyADL,0.010315684987224854,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,7
14,DummyADL,0.010488091038337262,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,7
15,DummyADL,0.012550494037523372,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,10
16,DummyADL,0.011992268723207659,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,10
17,DummyADL,0.01215163157840961,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,10
18,DummyADL,0.011518366565587615,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,10
19,DummyADL,0.012466325463607332,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,10
20,DummyADL,0.014347707127240128,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,15
21,DummyADL,0.014610028638825696,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,15
22,DummyADL,0.01946099701149946,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,15
23,DummyADL,0.014963358874942365,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,15
24,DummyADL,0.014347323547583665,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,15
25,DummyADL,0.0224683797698738,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,30
26,DummyADL,0.023057770422126412,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,30
27,DummyADL,0.02376585175406396,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,30
28,DummyADL,0.0226219069805753,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,30
29,DummyADL,0.022808620092688227,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,30
30,DummyADL,0.03318612354994814,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,1,60
31,DummyADL,0.032641095884205544,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,2,60
32,DummyADL,0.03414488170158835,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,3,60
33,DummyADL,0.0344004042003659,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,-0.0,0.5,4,60
34,DummyADL,0.03449929295752574,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.017441716807565052,-0.034883433615130105,0.5,5,60
